est_dist(m)	true_dist(m)	squared_error(m^2)
1.572	1.600	0.02787
1.592	1.600	0.00838
1.592	1.600	0.00799
1.590	1.600	0.00988
1.590	1.600	0.01012
1.572	1.600	0.02755
1.559	1.600	0.04054
1.531	1.600	0.06895
1.575	1.412	0.16329
1.545	1.412	0.13326
1.540	1.412	0.12831
1.519	1.412	0.10696
1.542	1.412	0.12972
1.558	1.412	0.14635
1.590	1.412	0.17846
1.568	1.412	0.15647
1.579	1.412	0.16692
1.586	1.412	0.17435
1.524	1.412	0.11227
1.577	1.413	0.16412
1.571	1.413	0.15816
1.558	1.413	0.14549
1.572	1.413	0.15881
1.569	1.413	0.15643
1.567	1.413	0.15436
1.606	1.413	0.19254
1.553	1.413	0.14027
1.557	1.413	0.14444
1.566	1.413	0.15267
1.579	1.413	0.16590
1.545	1.413	0.13160
1.492	1.413	0.07935
1.486	1.413	0.07284
1.498	1.413	0.08457
1.473	1.425	0.04788
1.515	1.425	0.09004
1.536	1.425	0.11103
1.513	1.425	0.08848
1.501	1.425	0.07646
1.511	1.425	0.08624
1.522	1.425	0.09706
1.506	1.425	0.08068
1.541	1.425	0.11572
1.564	1.420	0.14437
1.533	1.420	0.11320
1.522	1.420	0.10179
1.515	1.420	0.09460
1.535	1.420	0.11515
1.554	1.420	0.13433
1.532	1.420	0.11243
1.567	1.420	0.14651
1.519	1.420	0.09930
1.514	1.420	0.09369
1.526	1.420	0.10597
1.524	1.420	0.10403
1.559	1.420	0.13876
1.545	1.412	0.13304
1.507	1.412	0.09496
1.560	1.412	0.14816
1.505	1.412	0.09262
1.578	1.412	0.16620
1.525	1.412	0.11258
1.533	1.412	0.12135
1.548	1.412	0.13579
1.549	1.400	0.14900
1.570	1.400	0.17044
1.548	1.400	0.14816
1.549	1.400	0.14874
1.567	1.400	0.16680
1.550	1.400	0.15015
1.565	1.400	0.16460
1.556	1.400	0.15590
1.540	1.400	0.13975
1.552	1.400	0.15196
1.559	1.400	0.15878
1.541	1.400	0.14086
1.551	1.402	0.14864
1.551	1.402	0.14935
1.562	1.402	0.15953
1.557	1.402	0.15544
1.555	1.402	0.15331
1.547	1.402	0.14470
1.563	1.402	0.16094
1.519	1.402	0.11723
1.557	1.402	0.15457
