est_dist(m)	true_dist(m)	squared_error(m^2)
1.590	1.481	0.10928
1.637	1.620	0.01662
1.637	1.620	0.01707
1.659	1.620	0.03929
1.645	1.620	0.02480
1.665	1.620	0.04489
1.693	1.620	0.07301
1.582	1.620	0.03805
1.739	1.620	0.11863
1.762	1.678	0.08421
1.717	1.677	0.04040
1.727	1.677	0.04982
1.708	1.677	0.03123
1.710	1.677	0.03314
1.722	1.677	0.04509
1.726	1.677	0.04891
1.720	1.677	0.04279
1.605	1.677	0.07245
1.617	1.677	0.05959
1.734	1.677	0.05739
1.724	1.680	0.04438
1.710	1.680	0.03025
1.727	1.680	0.04734
1.732	1.680	0.05228
1.724	1.709	0.01465
1.645	1.658	0.01287
1.738	1.658	0.07957
1.727	1.658	0.06910
1.703	1.662	0.04124
1.722	1.662	0.05959
1.731	1.662	0.06906
1.736	1.662	0.07421
1.752	1.662	0.09035
1.730	1.662	0.06818
1.717	1.662	0.05499
1.721	1.662	0.05882
1.732	1.662	0.06955
1.737	1.662	0.07486
1.720	1.662	0.05759
1.737	1.646	0.09138
1.734	1.646	0.08819
1.717	1.646	0.07138
1.725	1.646	0.07855
1.728	1.646	0.08188
1.716	1.646	0.07007
1.708	1.646	0.06226
1.711	1.646	0.06525
1.720	1.646	0.07411
1.697	1.646	0.05102
1.677	1.646	0.03113
1.685	1.646	0.03855
1.669	1.646	0.02317
1.707	1.646	0.06065
1.727	1.646	0.08072
1.672	1.646	0.02568
1.680	1.646	0.03372
1.696	1.646	0.04988
1.709	1.646	0.06255
1.697	1.607	0.09027
1.699	1.607	0.09200
1.696	1.607	0.08921
1.678	1.607	0.07080
1.645	1.607	0.03790
1.653	1.607	0.04644
1.631	1.607	0.02389
1.624	1.607	0.01749
1.650	1.607	0.04323
1.661	1.666	0.00482
1.652	1.666	0.01435
1.672	1.666	0.00603
1.639	1.666	0.02728
1.599	1.666	0.06713
1.605	1.666	0.06102
1.581	1.626	0.04472
1.638	1.626	0.01208
1.644	1.626	0.01787
1.659	1.626	0.03340
1.659	1.626	0.03320
1.690	1.626	0.06355
1.697	1.626	0.07086
1.701	1.626	0.07501
1.700	1.626	0.07436
1.718	1.626	0.09170
1.736	1.626	0.10954
1.702	1.626	0.07572
1.722	1.626	0.09612
1.713	1.626	0.08733
1.727	1.626	0.10143
1.618	1.626	0.00778
1.617	1.633	0.01613
1.634	1.633	0.00063
1.626	1.633	0.00663
1.621	1.633	0.01168
1.613	1.633	0.01968
1.709	1.633	0.07629
1.688	1.584	0.10439
1.708	1.584	0.12422
1.675	1.584	0.09052
1.648	1.584	0.06400
1.661	1.584	0.07693
1.589	1.584	0.00490
1.575	1.584	0.00946
1.601	1.584	0.01702
1.595	1.584	0.01104
1.602	1.584	0.01823
1.600	1.584	0.01630
1.620	1.584	0.03619
1.631	1.584	0.04668
1.664	1.584	0.08000
1.662	1.584	0.07806
1.654	1.584	0.07032
1.662	1.584	0.07814
1.644	1.584	0.06002
1.637	1.584	0.05309
1.672	1.584	0.08765
1.660	1.496	0.16395
1.670	1.496	0.17374
1.638	1.496	0.14152
1.559	1.496	0.06274
1.539	1.496	0.04333
1.561	1.496	0.06548
1.578	1.496	0.08248
1.591	1.496	0.09499
1.615	1.496	0.11905
1.625	1.496	0.12872
1.640	1.496	0.14421
1.638	1.496	0.14164
1.655	1.496	0.15893
1.637	1.496	0.14130
1.641	1.496	0.14451
1.677	1.496	0.18105
1.697	1.496	0.20095
1.692	1.496	0.19592
1.688	1.496	0.19163
1.697	1.496	0.20121
1.687	1.525	0.16236
1.707	1.525	0.18161
1.712	1.525	0.18692
1.666	1.525	0.14125
1.601	1.525	0.07595
1.652	1.525	0.12708
1.652	1.525	0.12728
1.647	1.525	0.12199
1.701	1.525	0.17558
1.824	1.525	0.29930
1.707	1.523	0.18444
1.749	1.523	0.22578
1.682	1.523	0.15889
1.668	1.523	0.14524
1.774	1.523	0.25080
1.766	1.523	0.24258
1.785	1.523	0.26231
1.752	1.523	0.22928
1.794	1.523	0.27063
1.788	1.523	0.26473
1.714	1.527	0.18691
1.742	1.527	0.21482
1.696	1.527	0.16906
1.701	1.527	0.17422
1.788	1.496	0.29212
1.713	1.496	0.21736
1.724	1.496	0.22780
1.695	1.496	0.19937
1.698	1.496	0.20223
1.708	1.496	0.21155
1.700	1.496	0.20409
1.622	1.496	0.12574
1.614	1.496	0.11783
1.656	1.496	0.16021
1.636	1.496	0.13973
1.627	1.496	0.13099
1.607	1.496	0.11052
1.609	1.496	0.11334
1.604	1.496	0.10834
1.608	1.496	0.11152
1.605	1.353	0.25169
1.635	1.353	0.28245
1.557	1.353	0.20425
1.596	1.353	0.24298
1.607	1.353	0.25446
1.592	1.353	0.23855
1.585	1.353	0.23226
1.583	1.353	0.23016
1.583	1.353	0.22959
1.592	1.353	0.23906
1.607	1.353	0.25368
1.607	1.353	0.25387
1.657	1.353	0.30372
1.598	1.353	0.24482
1.589	1.353	0.23576
1.566	1.353	0.21289
1.632	1.353	0.27875
1.634	1.353	0.28070
1.600	1.353	0.24678
1.571	1.353	0.21823
1.585	1.253	0.33171
1.565	1.253	0.31248
1.562	1.253	0.30894
1.560	1.253	0.30665
1.514	1.253	0.26094
1.524	1.253	0.27135
1.529	1.253	0.27644
1.534	1.253	0.28085
1.526	1.253	0.27344
1.526	1.253	0.27296
1.504	1.253	0.25126
1.519	1.253	0.26621
1.507	1.253	0.25378
1.501	1.253	0.24845
1.538	1.253	0.28488
1.514	1.253	0.26108
1.545	1.253	0.29171
1.584	1.253	0.33092
1.550	1.253	0.29714
1.544	1.253	0.29054
1.571	1.213	0.35801
1.572	1.213	0.35890
1.577	1.213	0.36353
1.585	1.213	0.37207
1.581	1.213	0.36844
1.552	1.213	0.33930
1.563	1.213	0.35006
1.546	1.213	0.33338
1.540	1.213	0.32726
1.537	1.213	0.32367
1.537	1.213	0.32450
1.551	1.213	0.33818
1.554	1.213	0.34150
1.554	1.213	0.34109
1.553	1.213	0.34027
1.540	1.213	0.32704
1.555	1.217	0.33840
1.595	1.217	0.37845
1.604	1.217	0.38725
1.625	1.217	0.40782
1.588	1.223	0.36486
1.593	1.223	0.37036
1.587	1.223	0.36429
1.584	1.223	0.36115
1.556	1.223	0.33318
1.519	1.223	0.29567
1.579	1.223	0.35628
1.577	1.223	0.35364
1.584	1.223	0.36149
1.584	1.223	0.36064
1.591	1.223	0.36827
1.515	1.223	0.29249
1.514	1.223	0.29116
1.502	1.223	0.27861
1.492	1.297	0.19548
1.519	1.297	0.22230
1.487	1.297	0.18953
1.527	1.297	0.23048
1.550	1.297	0.25346
1.570	1.297	0.27262
1.579	1.297	0.28209
1.578	1.297	0.28128
1.610	1.297	0.31332
1.597	1.297	0.30025
1.575	1.297	0.27756
1.569	1.297	0.27190
1.573	1.297	0.27592
1.530	1.297	0.23280
1.562	1.297	0.26451
1.520	1.297	0.22320
1.545	1.297	0.24791
1.538	1.297	0.24094
1.552	1.297	0.25509
1.564	1.297	0.26693
1.497	1.396	0.10146
1.504	1.396	0.10768
1.462	1.396	0.06647
1.494	1.396	0.09755
1.502	1.396	0.10627
1.470	1.396	0.07362
1.468	1.396	0.07182
1.475	1.396	0.07932
1.533	1.396	0.13688
1.497	1.396	0.10052
1.495	1.396	0.09936
1.443	1.396	0.04718
1.603	1.396	0.20741
1.578	1.396	0.18158
1.576	1.396	0.18013
1.571	1.396	0.17540
1.585	1.396	0.18948
1.520	1.396	0.12395
1.523	1.396	0.12722
1.487	1.396	0.09112
1.468	1.647	0.17930
1.414	1.647	0.23254
1.456	1.647	0.19097
1.469	1.647	0.17802
1.425	1.647	0.22190
1.459	1.647	0.18808
1.612	1.647	0.03517
1.589	1.647	0.05778
1.628	1.647	0.01880
1.617	1.647	0.03024
1.705	1.647	0.05813
1.725	1.647	0.07842
1.681	1.647	0.03372
1.752	1.647	0.10491
1.802	1.647	0.15466
1.576	1.647	0.07067
