est_dist(m)	true_dist(m)	squared_error(m^2)
1.619	1.577	0.04156	-2.636%
1.628	1.577	0.05124	-3.249%
1.642	1.577	0.06511	-4.129%
1.658	1.577	0.08103	-5.138%
1.679	1.577	0.10190	-6.461%
1.688	1.577	0.11080	-7.026%
2.086	1.577	0.50944	-32.305%
1.103	1.577	0.47363	30.034%
1.112	1.577	0.46466	29.465%
1.122	1.577	0.45460	28.827%
1.134	1.577	0.44299	28.090%
1.154	1.577	0.42321	26.836%
1.157	1.577	0.42030	26.652%
1.120	1.563	0.44269	28.323%
1.147	1.563	0.41620	26.628%
1.141	1.563	0.42203	27.001%
2.086	1.550	0.53570	-34.562%
2.082	1.550	0.53168	-34.302%
2.082	1.550	0.53234	-34.344%
2.080	1.550	0.53024	-34.209%
1.683	1.550	0.13283	-8.570%
1.694	1.550	0.14400	-9.290%
1.676	1.550	0.12555	-8.100%
1.697	1.550	0.14691	-9.478%
1.676	1.550	0.12610	-8.135%
1.653	1.550	0.10251	-6.614%
1.634	1.550	0.08390	-5.413%
1.647	1.550	0.09654	-6.229%
1.622	1.550	0.07197	-4.644%
1.606	1.550	0.05637	-3.637%
1.632	1.550	0.08151	-5.259%
1.636	1.455	0.18066	-12.416%
1.614	1.455	0.15893	-10.923%
1.625	1.455	0.16961	-11.657%
1.618	1.455	0.16252	-11.170%
1.595	1.455	0.14011	-9.629%
1.589	1.455	0.13411	-9.217%
1.614	1.455	0.15878	-10.913%
1.589	1.455	0.13426	-9.228%
1.592	1.455	0.13738	-9.442%
1.611	1.455	0.15641	-10.750%
1.660	1.455	0.20512	-14.098%
1.605	1.455	0.14958	-10.280%
1.575	1.455	0.11952	-8.214%
1.559	1.455	0.10359	-7.119%
1.577	1.455	0.12240	-8.412%
1.564	1.455	0.10942	-7.520%
1.566	1.455	0.11125	-7.646%
1.564	1.455	0.10853	-7.459%
1.569	1.455	0.11424	-7.852%
1.574	1.455	0.11914	-8.188%
1.555	1.537	0.01772	-1.153%
1.542	1.537	0.00452	-0.294%
1.534	1.537	0.00283	0.184%
1.501	1.537	0.03605	2.345%
1.564	1.537	0.02672	-1.738%
1.552	1.537	0.01495	-0.973%
1.570	1.537	0.03319	-2.159%
1.056	1.537	0.48085	31.285%
1.053	1.537	0.48404	31.493%
1.564	1.537	0.02737	-1.781%
1.070	1.537	0.46665	30.361%
1.079	1.537	0.45760	29.772%
1.087	1.537	0.45012	29.285%
1.104	1.537	0.43285	28.162%
1.104	1.537	0.43289	28.165%
1.091	1.537	0.44628	29.036%
1.080	1.537	0.45688	29.725%
1.084	1.537	0.45324	29.488%
1.117	1.558	0.44141	28.332%
1.092	1.558	0.46562	29.886%
1.090	1.558	0.46782	30.027%
1.100	1.558	0.45782	29.385%
1.097	1.558	0.46147	29.620%
1.078	1.558	0.47974	30.792%
1.096	1.558	0.46219	29.666%
1.076	1.558	0.48247	30.967%
1.105	1.558	0.45277	29.061%
1.097	1.558	0.46063	29.566%
1.100	1.558	0.45781	29.384%
1.085	1.558	0.47262	30.335%
1.082	1.558	0.47576	30.537%
1.566	1.558	0.00801	-0.514%
1.587	1.558	0.02950	-1.893%
1.088	1.558	0.46990	30.161%
1.081	1.558	0.47682	30.604%
1.078	1.558	0.48014	30.818%
1.569	1.558	0.01103	-0.708%
1.571	1.558	0.01263	-0.811%
1.587	1.534	0.05308	-3.460%
1.600	1.534	0.06578	-4.288%
1.577	1.534	0.04310	-2.809%
1.547	1.534	0.01296	-0.845%
1.040	1.534	0.49431	32.224%
1.035	1.534	0.49908	32.535%
1.055	1.534	0.47860	31.199%
1.063	1.534	0.47141	30.731%
1.077	1.534	0.45728	29.810%
1.068	1.534	0.46555	30.349%
1.536	1.534	0.00156	-0.102%
1.560	1.534	0.02590	-1.689%
1.581	1.534	0.04729	-3.083%
1.562	1.534	0.02827	-1.843%
1.558	1.534	0.02414	-1.573%
1.520	1.534	0.01405	0.916%
1.537	1.534	0.00303	-0.197%
1.498	1.534	0.03604	2.349%
1.060	1.534	0.47384	30.889%
1.068	1.534	0.46632	30.399%
1.075	1.203	0.12825	10.661%
1.090	1.203	0.11256	9.357%
1.093	1.203	0.10962	9.112%
1.113	1.203	0.09026	7.503%
1.101	1.203	0.10173	8.457%
1.118	1.203	0.08514	7.077%
1.102	1.203	0.10057	8.360%
1.088	1.203	0.11477	9.540%
1.107	1.203	0.09634	8.008%
1.139	1.203	0.06446	5.358%
1.142	1.203	0.06062	5.039%
1.124	1.203	0.07948	6.606%
1.110	1.203	0.09312	7.741%
1.127	1.203	0.07611	6.327%
1.735	1.203	0.53164	-44.193%
1.702	1.203	0.49938	-41.512%
1.092	1.203	0.11145	9.265%
1.085	1.203	0.11811	9.818%
1.112	1.219	0.10697	8.775%
1.107	1.219	0.11197	9.186%
1.101	1.219	0.11846	9.717%
1.095	1.219	0.12392	10.165%
1.119	1.219	0.10032	8.230%
1.146	1.219	0.07331	6.014%
1.138	1.219	0.08069	6.620%
1.116	1.219	0.10312	8.459%
1.116	1.219	0.10332	8.476%
1.110	1.219	0.10934	8.969%
1.123	1.219	0.09601	7.876%
1.133	1.219	0.08563	7.025%
1.123	1.219	0.09607	7.881%
1.140	1.219	0.07936	6.510%
1.168	1.219	0.05105	4.188%
1.158	1.219	0.06118	5.019%
1.166	1.219	0.05307	4.353%
1.150	1.219	0.06920	5.677%
1.146	1.219	0.07314	6.000%
1.131	1.219	0.08784	7.206%
1.139	1.202	0.06257	5.206%
1.103	1.202	0.09883	8.222%
1.085	1.202	0.11745	9.771%
1.076	1.202	0.12580	10.466%
1.112	1.202	0.09045	7.525%
1.086	1.202	0.11558	9.616%
1.104	1.202	0.09844	8.190%
1.108	1.202	0.09397	7.818%
1.107	1.202	0.09493	7.898%
1.111	1.202	0.09082	7.556%
1.069	1.202	0.13344	11.102%
1.103	1.202	0.09873	8.214%
1.111	1.202	0.09126	7.592%
1.111	1.202	0.09061	7.538%
1.118	1.202	0.08413	6.999%
1.138	1.202	0.06423	5.344%
1.140	1.202	0.06179	5.140%
1.118	1.202	0.08412	6.999%
1.739	1.202	0.53718	-44.690%
1.134	1.202	0.06780	5.641%
1.139	1.202	0.06320	5.258%
1.124	1.202	0.07833	6.517%
1.119	1.202	0.08345	6.942%
1.562	1.202	0.36042	-29.985%
1.541	1.202	0.33888	-28.193%
1.128	1.202	0.07388	6.146%
1.135	1.202	0.06662	5.542%
1.143	1.202	0.05866	4.880%
1.154	1.202	0.04770	3.968%
1.168	1.202	0.03434	2.857%
1.162	1.202	0.03983	3.313%
1.156	1.202	0.04606	3.832%
1.167	1.202	0.03492	2.906%
1.121	1.202	0.08073	6.716%
1.165	1.202	0.03703	3.081%
1.159	1.202	0.04337	3.608%
1.146	1.202	0.05555	4.621%
1.141	1.202	0.06093	5.069%
1.101	1.202	0.10079	8.385%
1.107	1.188	0.08057	6.782%
1.112	1.188	0.07592	6.390%
1.113	1.188	0.07474	6.291%
1.103	1.188	0.08499	7.154%
1.104	1.188	0.08432	7.097%
1.088	1.188	0.10020	8.434%
1.109	1.188	0.07914	6.662%
1.102	1.188	0.08644	7.276%
1.115	1.188	0.07255	6.107%
1.129	1.188	0.05922	4.985%
1.116	1.188	0.07230	6.085%
1.114	1.188	0.07402	6.231%
1.722	1.188	0.53445	-44.987%
1.641	1.188	0.45302	-38.133%
1.622	1.188	0.43410	-36.540%
1.541	1.188	0.35339	-29.746%
1.660	1.188	0.47209	-39.738%
1.676	1.188	0.48772	-41.054%
1.719	1.188	0.53098	-44.695%
1.095	1.188	0.09333	7.856%
1.130	1.182	0.05206	4.404%
1.139	1.182	0.04284	3.624%
1.098	1.182	0.08425	7.128%
1.089	1.182	0.09258	7.832%
1.125	1.182	0.05728	4.846%
1.114	1.182	0.06827	5.776%
1.108	1.182	0.07351	6.220%
1.104	1.182	0.07777	6.579%
1.098	1.182	0.08402	7.108%
1.087	1.182	0.09497	8.035%
1.097	1.182	0.08535	7.221%
1.665	1.182	0.48310	-40.871%
1.096	1.182	0.08648	7.316%
1.098	1.182	0.08360	7.073%
1.713	1.182	0.53057	-44.888%
1.108	1.182	0.07355	6.223%
1.116	1.182	0.06622	5.602%
1.118	1.182	0.06382	5.400%
1.110	1.182	0.07170	6.066%
1.078	1.182	0.10398	8.797%
1.101	1.182	0.08050	6.811%
1.116	1.182	0.06609	5.592%
1.548	1.182	0.36591	-30.957%
1.552	1.182	0.36987	-31.292%
1.108	1.182	0.07445	6.298%
1.093	1.182	0.08856	7.492%
1.135	1.182	0.04695	3.972%
1.116	1.182	0.06573	5.561%
1.119	1.182	0.06322	5.349%
1.130	1.182	0.05211	4.409%
1.131	1.182	0.05145	4.353%
1.122	1.182	0.05992	5.070%
1.133	1.185	0.05163	4.357%
1.133	1.185	0.05160	4.354%
1.105	1.185	0.08021	6.769%
1.114	1.185	0.07106	5.996%
1.113	1.185	0.07233	6.104%
1.113	1.185	0.07170	6.051%
1.112	1.185	0.07261	6.127%
1.131	1.185	0.05368	4.530%
1.592	1.185	0.40737	-34.377%
1.090	1.185	0.09498	8.015%
1.100	1.185	0.08485	7.160%
1.713	1.185	0.52794	-44.552%
1.681	1.185	0.49561	-41.824%
1.694	1.185	0.50927	-42.977%
1.682	1.185	0.49692	-41.934%
1.490	1.185	0.30546	-25.777%
1.065	1.185	0.12039	10.159%
1.070	1.185	0.11491	9.697%
1.058	1.418	0.36032	25.410%
1.845	1.418	0.42677	-30.097%
1.704	1.418	0.28642	-20.199%
1.691	1.418	0.27298	-19.251%
1.638	1.418	0.21995	-15.511%
1.596	1.418	0.17805	-12.556%
1.584	1.418	0.16585	-11.696%
1.569	1.418	0.15116	-10.660%
1.568	1.418	0.14976	-10.561%
1.576	1.418	0.15816	-11.154%
1.553	1.418	0.13477	-9.504%
1.564	1.418	0.14562	-10.269%
1.526	1.418	0.10778	-7.601%
1.536	1.418	0.11848	-8.355%
1.560	1.418	0.14172	-9.995%
1.582	1.418	0.16354	-11.533%
1.544	1.418	0.12625	-8.903%
1.542	1.418	0.12404	-8.748%
1.588	1.418	0.17012	-11.997%
1.598	1.418	0.17996	-12.691%
1.585	1.420	0.16459	-11.591%
1.582	1.420	0.16246	-11.441%
1.585	1.420	0.16497	-11.618%
1.596	1.420	0.17643	-12.424%
1.587	1.420	0.16729	-11.781%
1.583	1.420	0.16281	-11.465%
1.561	1.420	0.14144	-9.961%
1.581	1.420	0.16123	-11.354%
1.589	1.420	0.16876	-11.884%
1.582	1.420	0.16212	-11.417%
1.605	1.420	0.18497	-13.026%
1.614	1.420	0.19432	-13.684%
1.593	1.420	0.17280	-12.169%
1.615	1.420	0.19475	-13.715%
1.637	1.420	0.21726	-15.300%
1.612	1.420	0.19193	-13.516%
1.602	1.420	0.18212	-12.825%
1.604	1.420	0.18369	-12.936%
1.624	1.420	0.20376	-14.349%
1.624	1.420	0.20448	-14.400%
1.621	1.414	0.20730	-14.661%
1.619	1.414	0.20466	-14.474%
1.619	1.414	0.20492	-14.493%
1.611	1.414	0.19709	-13.938%
1.620	1.414	0.20624	-14.586%
1.625	1.414	0.21109	-14.929%
1.598	1.414	0.18444	-13.044%
1.558	1.414	0.14399	-10.183%
1.552	1.414	0.13764	-9.734%
1.600	1.414	0.18554	-13.121%
1.608	1.414	0.19379	-13.705%
1.578	1.414	0.16398	-11.597%
1.568	1.414	0.15449	-10.926%
1.572	1.414	0.15757	-11.144%
1.594	1.414	0.17969	-12.708%
1.566	1.414	0.15246	-10.782%
1.564	1.414	0.14971	-10.587%
1.540	1.414	0.12561	-8.884%
1.552	1.414	0.13762	-9.733%
1.567	1.414	0.15341	-10.849%
1.591	1.416	0.17538	-12.386%
1.554	1.416	0.13771	-9.725%
1.076	1.416	0.34049	24.046%
1.071	1.416	0.34466	24.340%
1.556	1.416	0.14015	-9.897%
1.575	1.416	0.15863	-11.203%
1.562	1.416	0.14557	-10.280%
1.585	1.416	0.16945	-11.967%
1.565	1.416	0.14886	-10.513%
1.580	1.416	0.16389	-11.574%
1.611	1.416	0.19512	-13.780%
1.611	1.416	0.19465	-13.747%
1.607	1.416	0.19142	-13.518%
1.603	1.416	0.18747	-13.239%
1.089	1.416	0.32691	23.087%
1.104	1.416	0.31209	22.040%
1.098	1.416	0.31788	22.449%
1.095	1.416	0.32052	22.635%
1.099	1.416	0.31736	22.413%
1.086	1.416	0.32994	23.301%
1.616	1.412	0.20400	-14.448%
1.608	1.412	0.19633	-13.904%
1.597	1.412	0.18460	-13.074%
1.622	1.412	0.21031	-14.895%
1.606	1.412	0.19421	-13.755%
1.621	1.412	0.20874	-14.783%
1.629	1.412	0.21705	-15.372%
1.633	1.412	0.22062	-15.625%
1.614	1.412	0.20206	-14.310%
1.611	1.412	0.19870	-14.072%
1.600	1.412	0.18759	-13.286%
1.595	1.412	0.18272	-12.940%
1.585	1.412	0.17303	-12.254%
1.557	1.412	0.14550	-10.304%
1.565	1.412	0.15274	-10.817%
1.582	1.412	0.16990	-12.033%
1.566	1.412	0.15393	-10.901%
1.554	1.412	0.14194	-10.052%
1.549	1.412	0.13677	-9.686%
1.536	1.412	0.12406	-8.786%
1.534	1.510	0.02433	-1.611%
1.556	1.510	0.04635	-3.069%
1.531	1.510	0.02084	-1.380%
1.542	1.510	0.03182	-2.107%
1.542	1.510	0.03165	-2.096%
1.548	1.510	0.03843	-2.545%
1.608	1.510	0.09785	-6.480%
1.567	1.510	0.05719	-3.787%
1.649	1.510	0.13882	-9.193%
1.646	1.510	0.13591	-9.000%
1.621	1.510	0.11068	-7.330%
1.034	1.510	0.47561	31.497%
1.031	1.510	0.47881	31.710%
1.034	1.510	0.47598	31.522%
1.041	1.510	0.46925	31.076%
2.097	1.510	0.58727	-38.892%
1.037	1.510	0.47290	31.318%
1.035	1.510	0.47504	31.459%
1.046	1.510	0.46447	30.759%
1.072	1.510	0.43849	29.039%
1.071	1.528	0.45665	29.886%
1.066	1.528	0.46165	30.213%
1.065	1.528	0.46301	30.302%
1.062	1.528	0.46637	30.522%
1.057	1.528	0.47072	30.806%
1.069	1.528	0.45862	30.015%
1.099	1.528	0.42913	28.084%
1.089	1.528	0.43905	28.733%
1.124	1.528	0.40449	26.472%
1.127	1.528	0.40079	26.229%
1.114	1.528	0.41414	27.103%
1.094	1.528	0.43419	28.416%
1.109	1.528	0.41857	27.393%
1.103	1.528	0.42501	27.815%
1.102	1.528	0.42637	27.904%
1.096	1.528	0.43191	28.267%
1.114	1.528	0.41376	27.078%
1.108	1.528	0.42009	27.493%
1.104	1.528	0.42404	27.751%
1.119	1.528	0.40926	26.784%
1.096	1.480	0.38445	25.976%
1.113	1.480	0.36664	24.773%
1.108	1.480	0.37209	25.141%
1.096	1.480	0.38378	25.931%
1.099	1.480	0.38085	25.733%
1.108	1.480	0.37164	25.111%
1.111	1.480	0.36863	24.908%
1.117	1.480	0.36332	24.549%
1.716	1.480	0.23603	-15.948%
1.710	1.480	0.23020	-15.554%
1.097	1.480	0.38341	25.906%
1.088	1.480	0.39243	26.515%
1.086	1.480	0.39420	26.635%
1.092	1.480	0.38758	26.188%
1.071	1.480	0.40863	27.610%
1.093	1.480	0.38707	26.153%
1.077	1.480	0.40346	27.261%
1.093	1.480	0.38668	26.127%
1.104	1.480	0.37645	25.435%
1.095	1.480	0.38471	25.994%
1.096	1.481	0.38452	25.963%
1.104	1.481	0.37650	25.422%
1.101	1.481	0.38028	25.677%
1.111	1.481	0.37038	25.009%
1.669	1.481	0.18801	-12.695%
1.702	1.481	0.22143	-14.951%
1.697	1.481	0.21639	-14.611%
1.669	1.481	0.18750	-12.661%
1.078	1.481	0.40266	27.188%
1.701	1.481	0.22006	-14.859%
1.587	1.481	0.10602	-7.159%
1.579	1.481	0.09802	-6.619%
1.575	1.481	0.09424	-6.364%
1.572	1.481	0.09067	-6.122%
1.597	1.481	0.11615	-7.843%
1.547	1.481	0.06568	-4.435%
1.558	1.481	0.07710	-5.206%
1.582	1.481	0.10110	-6.826%
1.574	1.481	0.09264	-6.255%
1.571	1.481	0.08987	-6.068%
1.577	1.443	0.13448	-9.319%
1.575	1.443	0.13200	-9.147%
1.555	1.443	0.11175	-7.744%
1.588	1.443	0.14462	-10.022%
1.576	1.443	0.13270	-9.196%
1.568	1.443	0.12488	-8.654%
1.578	1.443	0.13495	-9.352%
1.575	1.443	0.13228	-9.167%
1.595	1.443	0.15168	-10.512%
1.598	1.443	0.15455	-10.710%
1.610	1.443	0.16713	-11.582%
1.623	1.443	0.18000	-12.474%
1.628	1.443	0.18476	-12.804%
1.586	1.443	0.14271	-9.890%
1.561	1.443	0.11788	-8.169%
1.580	1.443	0.13701	-9.495%
1.603	1.443	0.15954	-11.056%
1.592	1.443	0.14919	-10.339%
1.609	1.443	0.16564	-11.479%
1.616	1.443	0.17275	-11.972%
1.636	1.439	0.19740	-13.718%
1.628	1.439	0.18910	-13.141%
1.632	1.439	0.19339	-13.439%
1.103	1.439	0.33596	23.347%
1.106	1.439	0.33345	23.173%
1.109	1.439	0.33022	22.948%
1.633	1.439	0.19384	-13.471%
1.624	1.439	0.18499	-12.856%
1.623	1.439	0.18396	-12.784%
1.620	1.439	0.18053	-12.546%
1.616	1.439	0.17684	-12.289%
1.615	1.439	0.17620	-12.245%
1.613	1.439	0.17450	-12.126%
1.604	1.439	0.16498	-11.465%
1.096	1.439	0.34316	23.847%
1.598	1.439	0.15943	-11.079%
1.583	1.439	0.14384	-9.996%
1.557	1.439	0.11816	-8.211%
1.555	1.439	0.11581	-8.048%
1.563	1.439	0.12371	-8.597%
1.584	1.437	0.14702	-10.231%
1.574	1.437	0.13724	-9.550%
1.677	1.437	0.24002	-16.703%
1.627	1.437	0.19011	-13.230%
1.595	1.437	0.15781	-10.982%
1.604	1.437	0.16693	-11.617%
1.620	1.437	0.18264	-12.709%
1.623	1.437	0.18614	-12.953%
2.099	1.437	0.66237	-46.094%
1.576	1.437	0.13942	-9.702%
1.656	1.437	0.21867	-15.217%
1.647	1.437	0.21007	-14.618%
2.101	1.437	0.66355	-46.176%
2.102	1.437	0.66490	-46.270%
1.555	1.437	0.11784	-8.200%
1.615	1.437	0.17797	-12.385%
1.114	1.437	0.32305	22.481%
2.077	1.437	0.63978	-44.522%
1.625	1.461	0.16415	-11.235%
1.636	1.461	0.17527	-11.997%
1.627	1.461	0.16599	-11.361%
1.634	1.461	0.17277	-11.825%
1.607	1.461	0.14579	-9.979%
1.612	1.461	0.15062	-10.309%
1.634	1.461	0.17324	-11.858%
1.646	1.461	0.18486	-12.653%
1.577	1.461	0.11637	-7.965%
1.633	1.461	0.17241	-11.801%
1.571	1.461	0.10974	-7.511%
1.567	1.461	0.10606	-7.260%
1.562	1.461	0.10107	-6.918%
1.570	1.461	0.10907	-7.465%
1.584	1.461	0.12273	-8.400%
1.535	1.461	0.07394	-5.061%
1.537	1.461	0.07611	-5.209%
1.562	1.461	0.10093	-6.908%
1.590	1.461	0.12860	-8.802%
1.068	1.461	0.39266	26.876%
1.609	1.552	0.05726	-3.689%
1.600	1.552	0.04768	-3.072%
1.644	1.552	0.09247	-5.958%
1.545	1.552	0.00652	0.420%
1.564	1.552	0.01235	-0.796%
1.016	1.552	0.53558	34.509%
1.047	1.552	0.50549	32.570%
1.098	1.552	0.45437	29.277%
1.080	1.552	0.47152	30.382%
1.581	1.552	0.02928	-1.887%
1.576	1.552	0.02374	-1.529%
1.587	1.552	0.03477	-2.241%
1.593	1.552	0.04072	-2.623%
1.573	1.552	0.02059	-1.327%
1.591	1.552	0.03870	-2.493%
1.098	1.552	0.45438	29.277%
1.078	1.552	0.47447	30.572%
1.092	1.552	0.45983	29.628%
1.099	1.552	0.45343	29.216%
1.101	1.552	0.45134	29.081%
1.117	1.564	0.44676	28.566%
1.074	1.564	0.48980	31.317%
1.078	1.564	0.48607	31.079%
1.094	1.564	0.46986	30.042%
1.101	1.564	0.46321	29.617%
1.082	1.564	0.48237	30.842%
1.593	1.564	0.02899	-1.854%
1.621	1.564	0.05656	-3.617%
1.089	1.564	0.47503	30.372%
1.085	1.564	0.47890	30.620%
1.081	1.564	0.48320	30.895%
1.088	1.564	0.47606	30.438%
1.089	1.564	0.47533	30.392%
1.591	1.564	0.02739	-1.751%
1.567	1.564	0.00295	-0.189%
1.578	1.564	0.01380	-0.883%
1.100	1.564	0.46378	29.653%
1.083	1.564	0.48075	30.738%
1.111	1.564	0.45286	28.956%
1.098	1.564	0.46637	29.819%
1.092	1.555	0.46258	29.748%
1.105	1.555	0.44980	28.926%
1.104	1.555	0.45139	29.029%
1.085	1.555	0.46973	30.208%
1.097	1.555	0.45794	29.450%
1.097	1.555	0.45780	29.440%
1.094	1.555	0.46137	29.670%
1.081	1.555	0.47360	30.456%
1.074	1.555	0.48095	30.929%
1.091	1.555	0.46412	29.847%
1.698	1.555	0.14324	-9.211%
1.629	1.555	0.07412	-4.766%
1.575	1.555	0.02032	-1.307%
1.560	1.555	0.00470	-0.302%
1.558	1.555	0.00312	-0.201%
1.589	1.555	0.03402	-2.188%
1.550	1.555	0.00524	0.337%
1.565	1.555	0.01006	-0.647%
1.547	1.555	0.00787	0.506%
1.581	1.555	0.02606	-1.676%
1.577	1.476	0.10132	-6.864%
1.545	1.476	0.06926	-4.692%
1.565	1.476	0.08866	-6.006%
1.572	1.476	0.09576	-6.488%
1.499	1.476	0.02276	-1.542%
1.521	1.476	0.04451	-3.016%
1.538	1.476	0.06163	-4.176%
1.076	1.476	0.40036	27.124%
1.593	1.476	0.11695	-7.924%
1.071	1.476	0.40526	27.457%
1.077	1.476	0.39891	27.027%
1.590	1.476	0.11429	-7.743%
1.595	1.476	0.11939	-8.089%
1.609	1.476	0.13310	-9.018%
1.090	1.476	0.38579	26.137%
1.098	1.476	0.37794	25.606%
1.611	1.476	0.13513	-9.155%
1.645	1.476	0.16915	-11.460%
1.641	1.476	0.16550	-11.213%
1.624	1.476	0.14827	-10.046%
1.123	1.434	0.31101	21.689%
1.110	1.434	0.32365	22.569%
1.086	1.434	0.34769	24.246%
1.105	1.434	0.32903	22.945%
1.106	1.434	0.32821	22.888%
1.110	1.434	0.32394	22.590%
1.097	1.434	0.33712	23.509%
1.106	1.434	0.32825	22.891%
1.086	1.434	0.34824	24.284%
1.089	1.434	0.34510	24.066%
1.107	1.434	0.32717	22.815%
1.626	1.434	0.19159	-13.361%
1.643	1.434	0.20928	-14.594%
1.644	1.434	0.20955	-14.613%
1.653	1.434	0.21944	-15.303%
1.674	1.434	0.24012	-16.745%
1.132	1.434	0.30185	21.049%
1.132	1.434	0.30245	21.091%
1.129	1.434	0.30518	21.282%
1.631	1.434	0.19671	-13.718%
2.072	1.434	0.63788	-44.483%
2.085	1.434	0.65104	-45.401%
2.082	1.434	0.64756	-45.158%
2.088	1.434	0.65432	-45.629%
1.651	1.434	0.21693	-15.128%
1.636	1.434	0.20174	-14.068%
1.105	1.434	0.32863	22.917%
1.111	1.434	0.32333	22.547%
1.124	1.434	0.30950	21.583%
1.134	1.434	0.29957	20.891%
1.654	1.434	0.22025	-15.359%
1.625	1.434	0.19089	-13.312%
1.644	1.434	0.21040	-14.672%
1.624	1.434	0.18972	-13.230%
1.622	1.434	0.18850	-13.145%
1.624	1.434	0.18975	-13.232%
1.629	1.434	0.19514	-13.608%
1.635	1.434	0.20076	-14.000%
1.632	1.434	0.19848	-13.841%
1.625	1.419	0.20599	-14.517%
1.627	1.419	0.20826	-14.677%
1.624	1.419	0.20538	-14.474%
1.607	1.419	0.18830	-13.270%
1.600	1.419	0.18098	-12.754%
1.112	1.419	0.30737	21.661%
1.083	1.419	0.33645	23.710%
1.106	1.419	0.31297	22.056%
1.095	1.419	0.32354	22.800%
1.632	1.419	0.21322	-15.026%
1.626	1.419	0.20716	-14.599%
1.102	1.419	0.31654	22.307%
1.656	1.419	0.23721	-16.717%
1.631	1.419	0.21205	-14.944%
1.619	1.419	0.19965	-14.070%
1.604	1.419	0.18522	-13.053%
1.607	1.419	0.18769	-13.227%
1.612	1.419	0.19271	-13.580%
1.627	1.419	0.20788	-14.649%
1.625	1.419	0.20615	-14.528%
1.618	1.486	0.13218	-8.895%
1.618	1.486	0.13229	-8.902%
1.602	1.486	0.11627	-7.824%
1.580	1.486	0.09398	-6.324%
1.589	1.486	0.10322	-6.946%
1.630	1.486	0.14423	-9.706%
1.635	1.486	0.14935	-10.050%
1.637	1.486	0.15112	-10.169%
1.621	1.486	0.13539	-9.111%
1.618	1.486	0.13222	-8.897%
1.592	1.486	0.10596	-7.130%
1.550	1.486	0.06399	-4.306%
1.532	1.486	0.04637	-3.120%
1.567	1.486	0.08099	-5.450%
1.563	1.486	0.07690	-5.175%
1.604	1.486	0.11805	-7.944%
1.626	1.486	0.14035	-9.445%
1.592	1.486	0.10574	-7.116%
1.599	1.486	0.11320	-7.618%
1.600	1.486	0.11409	-7.677%
1.630	1.480	0.15034	-10.158%
1.633	1.480	0.15345	-10.369%
1.571	1.480	0.09125	-6.165%
1.611	1.480	0.13133	-8.873%
1.601	1.480	0.12138	-8.202%
1.555	1.480	0.07476	-5.051%
1.557	1.480	0.07703	-5.205%
1.565	1.480	0.08519	-5.756%
1.580	1.480	0.10042	-6.785%
1.564	1.480	0.08443	-5.705%
1.564	1.480	0.08385	-5.666%
1.563	1.480	0.08255	-5.578%
1.546	1.480	0.06582	-4.447%
1.554	1.480	0.07379	-4.986%
1.528	1.480	0.04833	-3.265%
1.538	1.480	0.05816	-3.930%
1.560	1.480	0.07992	-5.400%
1.549	1.480	0.06949	-4.695%
1.561	1.480	0.08146	-5.504%
1.593	1.480	0.11273	-7.617%
1.586	1.595	0.00871	0.546%
1.543	1.595	0.05218	3.271%
1.059	1.595	0.53645	33.634%
1.064	1.595	0.53097	33.290%
1.076	1.595	0.51930	32.558%
1.568	1.595	0.02688	1.685%
1.095	1.595	0.49964	31.325%
1.608	1.595	0.01267	-0.794%
1.665	1.595	0.06990	-4.383%
1.664	1.595	0.06934	-4.348%
1.672	1.595	0.07745	-4.856%
1.658	1.595	0.06301	-3.951%
1.633	1.595	0.03838	-2.406%
1.631	1.595	0.03583	-2.247%
1.585	1.595	0.01022	0.640%
1.590	1.595	0.00511	0.320%
1.604	1.595	0.00852	-0.534%
1.628	1.595	0.03325	-2.085%
1.606	1.595	0.01077	-0.675%
1.581	1.595	0.01434	0.899%
1.612	1.543	0.06881	-4.459%
1.591	1.543	0.04835	-3.134%
1.599	1.543	0.05601	-3.630%
1.589	1.543	0.04585	-2.972%
1.589	1.543	0.04595	-2.978%
1.598	1.543	0.05465	-3.542%
1.592	1.543	0.04926	-3.192%
1.563	1.543	0.01975	-1.280%
1.577	1.543	0.03378	-2.189%
1.605	1.543	0.06218	-4.030%
1.598	1.543	0.05459	-3.538%
1.592	1.543	0.04851	-3.144%
1.584	1.543	0.04109	-2.663%
1.579	1.543	0.03571	-2.314%
1.654	1.543	0.11144	-7.222%
1.588	1.543	0.04523	-2.931%
1.603	1.543	0.05957	-3.860%
1.623	1.543	0.07957	-5.157%
1.567	1.543	0.02371	-1.536%
1.582	1.543	0.03937	-2.551%
1.592	1.445	0.14697	-10.171%
1.540	1.445	0.09453	-6.542%
1.535	1.445	0.08997	-6.226%
1.534	1.445	0.08899	-6.158%
1.048	1.445	0.39669	27.453%
1.574	1.445	0.12879	-8.913%
1.089	1.445	0.35579	24.622%
1.107	1.445	0.33766	23.367%
1.113	1.445	0.33215	22.986%
2.068	1.445	0.62309	-43.121%
2.069	1.445	0.62422	-43.198%
2.064	1.445	0.61902	-42.839%
2.065	1.445	0.62035	-42.931%
1.635	1.445	0.19006	-13.153%
1.631	1.445	0.18645	-12.903%
1.633	1.445	0.18758	-12.981%
1.618	1.445	0.17266	-11.949%
1.635	1.445	0.18962	-13.123%
1.642	1.445	0.19670	-13.613%
