est_dist(m)	true_dist(m)	squared_error(m^2)
1.091	1.600	0.50902	31.813%
1.090	1.600	0.51034	31.896%
1.099	1.600	0.50081	31.301%
1.107	1.600	0.49287	30.804%
1.677	1.600	0.07667	-4.792%
1.678	1.600	0.07785	-4.865%
1.665	1.600	0.06512	-4.070%
1.661	1.600	0.06114	-3.821%
1.674	1.600	0.07365	-4.603%
1.687	1.600	0.08659	-5.412%
1.683	1.600	0.08349	-5.218%
1.669	1.600	0.06934	-4.334%
1.109	1.600	0.49095	30.685%
1.701	1.600	0.10135	-6.335%
1.732	1.600	0.13171	-8.232%
1.718	1.600	0.11830	-7.394%
1.122	1.600	0.47776	29.860%
1.143	1.600	0.45748	28.593%
1.722	1.600	0.12162	-7.601%
1.695	1.600	0.09468	-5.918%
1.714	1.600	0.11375	-7.109%
1.731	1.600	0.13100	-8.188%
2.094	1.600	0.49442	-30.901%
1.134	1.600	0.46589	29.118%
1.118	1.600	0.48243	30.152%
1.116	1.600	0.48355	30.222%
1.121	1.600	0.47898	29.936%
1.123	1.600	0.47740	29.838%
1.132	1.600	0.46834	29.271%
1.144	1.600	0.45563	28.477%
1.135	1.600	0.46517	29.073%
1.702	1.600	0.10205	-6.378%
1.705	1.600	0.10473	-6.546%
1.690	1.600	0.08989	-5.618%
1.689	1.600	0.08936	-5.585%
1.702	1.600	0.10166	-6.354%
1.700	1.600	0.10041	-6.276%
1.693	1.600	0.09296	-5.810%
1.697	1.600	0.09664	-6.040%
1.724	1.600	0.12410	-7.756%
1.105	1.600	0.49546	30.966%
1.695	1.600	0.09513	-5.946%
1.720	1.600	0.11990	-7.494%
1.702	1.600	0.10179	-6.362%
1.694	1.600	0.09402	-5.876%
1.690	1.600	0.09006	-5.629%
1.067	1.600	0.53327	33.329%
1.079	1.600	0.52120	32.575%
1.084	1.600	0.51639	32.274%
1.080	1.600	0.52005	32.503%
1.064	1.600	0.53569	33.481%
1.719	1.600	0.11946	-7.466%
1.658	1.600	0.05754	-3.596%
1.680	1.600	0.08014	-5.009%
1.710	1.600	0.11046	-6.904%
1.723	1.600	0.12304	-7.690%
1.726	1.600	0.12620	-7.888%
1.736	1.600	0.13569	-8.481%
1.730	1.600	0.12968	-8.105%
1.741	1.600	0.14070	-8.794%
1.704	1.600	0.10441	-6.526%
1.087	1.600	0.51259	32.037%
1.090	1.600	0.51033	31.895%
1.080	1.600	0.51959	32.474%
1.695	1.600	0.09547	-5.967%
1.715	1.600	0.11492	-7.182%
1.718	1.600	0.11846	-7.404%
1.699	1.600	0.09875	-6.172%
1.698	1.600	0.09826	-6.141%
1.708	1.600	0.10822	-6.764%
1.664	1.600	0.06358	-3.974%
1.669	1.600	0.06865	-4.291%
1.670	1.600	0.06995	-4.372%
1.658	1.600	0.05758	-3.599%
1.643	1.600	0.04301	-2.688%
1.609	1.600	0.00853	-0.533%
1.645	1.600	0.04454	-2.784%
1.633	1.600	0.03270	-2.044%
1.619	1.600	0.01912	-1.195%
1.615	1.600	0.01527	-0.955%
1.621	1.600	0.02067	-1.292%
1.650	1.600	0.04985	-3.116%
1.096	1.600	0.50443	31.527%
1.098	1.600	0.50155	31.347%
1.671	1.600	0.07098	-4.436%
1.672	1.600	0.07200	-4.500%
1.666	1.600	0.06646	-4.153%
1.680	1.600	0.07961	-4.976%
1.655	1.600	0.05490	-3.431%
1.653	1.600	0.05287	-3.304%
1.630	1.600	0.02959	-1.849%
1.090	1.600	0.50979	31.862%
1.088	1.600	0.51187	31.992%
1.091	1.600	0.50861	31.788%
1.100	1.600	0.49951	31.220%
1.088	1.600	0.51173	31.983%
1.098	1.600	0.50211	31.382%
1.681	1.600	0.08058	-5.036%
1.095	1.600	0.50511	31.569%
1.640	1.600	0.04024	-2.515%
1.683	1.600	0.08334	-5.209%
1.704	1.600	0.10439	-6.525%
1.709	1.600	0.10877	-6.798%
1.114	1.600	0.48589	30.368%
1.112	1.600	0.48812	30.508%
1.104	1.600	0.49611	31.007%
1.681	1.600	0.08114	-5.071%
1.103	1.600	0.49652	31.033%
1.083	1.600	0.51681	32.301%
1.103	1.600	0.49692	31.057%
1.683	1.600	0.08302	-5.189%
1.687	1.600	0.08671	-5.420%
1.121	1.600	0.47913	29.945%
1.125	1.600	0.47486	29.679%
1.700	1.600	0.10047	-6.279%
1.680	1.600	0.07982	-4.989%
1.671	1.600	0.07138	-4.461%
1.109	1.600	0.49107	30.692%
1.709	1.600	0.10860	-6.787%
1.113	1.600	0.48743	30.465%
1.152	1.600	0.44833	28.020%
1.148	1.600	0.45217	28.261%
1.106	1.600	0.49359	30.850%
1.065	1.600	0.53546	33.466%
1.056	1.600	0.54432	34.020%
1.101	1.600	0.49921	31.200%
1.104	1.600	0.49586	30.991%
1.085	1.600	0.51520	32.200%
1.720	1.600	0.11993	-7.496%
1.696	1.600	0.09642	-6.026%
1.130	1.600	0.46996	29.373%
1.114	1.600	0.48638	30.399%
1.120	1.600	0.47966	29.979%
1.110	1.600	0.48990	30.619%
1.107	1.600	0.49267	30.792%
1.640	1.600	0.03966	-2.479%
1.669	1.600	0.06938	-4.336%
1.679	1.600	0.07946	-4.966%
1.680	1.600	0.08048	-5.030%
1.132	1.600	0.46775	29.235%
1.128	1.600	0.47157	29.473%
1.131	1.600	0.46880	29.300%
1.128	1.600	0.47192	29.495%
1.132	1.600	0.46757	29.223%
1.130	1.600	0.46951	29.344%
1.133	1.600	0.46705	29.191%
1.125	1.600	0.47509	29.693%
1.115	1.600	0.48490	30.306%
1.083	1.600	0.51652	32.283%
1.082	1.600	0.51778	32.361%
1.092	1.600	0.50812	31.757%
1.098	1.600	0.50238	31.399%
1.110	1.600	0.48999	30.624%
1.117	1.600	0.48296	30.185%
1.133	1.600	0.46740	29.212%
1.131	1.600	0.46907	29.317%
1.714	1.600	0.11363	-7.102%
1.139	1.600	0.46087	28.805%
1.713	1.600	0.11329	-7.081%
1.701	1.600	0.10103	-6.314%
1.686	1.600	0.08647	-5.404%
1.139	1.600	0.46059	28.787%
1.737	1.600	0.13733	-8.583%
1.703	1.600	0.10263	-6.415%
1.665	1.600	0.06455	-4.034%
1.665	1.600	0.06484	-4.053%
1.699	1.600	0.09871	-6.170%
1.676	1.600	0.07623	-4.764%
1.607	1.600	0.00706	-0.441%
1.597	1.600	0.00275	0.172%
1.640	1.600	0.04017	-2.511%
1.643	1.600	0.04325	-2.703%
1.643	1.600	0.04289	-2.681%
1.659	1.600	0.05901	-3.688%
1.671	1.600	0.07074	-4.421%
1.682	1.600	0.08193	-5.120%
1.647	1.600	0.04733	-2.958%
1.624	1.600	0.02362	-1.476%
1.577	1.600	0.02272	1.420%
1.595	1.600	0.00527	0.330%
1.595	1.600	0.00532	0.332%
1.609	1.600	0.00949	-0.593%
1.612	1.600	0.01246	-0.779%
1.613	1.600	0.01266	-0.791%
1.612	1.600	0.01155	-0.722%
1.600	1.600	0.00007	0.004%
1.585	1.600	0.01533	0.958%
1.545	1.600	0.05548	3.468%
1.538	1.600	0.06181	3.863%
1.536	1.600	0.06434	4.021%
1.533	1.600	0.06686	4.179%
1.522	1.600	0.07838	4.899%
1.538	1.600	0.06238	3.899%
1.522	1.600	0.07758	4.849%
1.543	1.600	0.05662	3.538%
1.525	1.600	0.07500	4.687%
1.547	1.600	0.05304	3.315%
1.543	1.600	0.05664	3.540%
1.556	1.600	0.04433	2.771%
1.564	1.600	0.03581	2.238%
1.553	1.600	0.04744	2.965%
1.561	1.600	0.03912	2.445%
1.576	1.600	0.02399	1.499%
1.570	1.600	0.03050	1.906%
1.577	1.600	0.02285	1.428%
1.542	1.600	0.05841	3.650%
1.544	1.600	0.05611	3.507%
1.564	1.600	0.03564	2.227%
1.535	1.600	0.06497	4.060%
1.583	1.600	0.01716	1.072%
1.537	1.600	0.06336	3.960%
1.519	1.600	0.08144	5.090%
1.533	1.600	0.06683	4.177%
1.547	1.600	0.05316	3.323%
1.544	1.600	0.05628	3.518%
1.548	1.600	0.05184	3.240%
1.557	1.600	0.04350	2.719%
1.547	1.600	0.05252	3.282%
1.546	1.600	0.05413	3.383%
1.573	1.600	0.02743	1.714%
1.588	1.600	0.01242	0.776%
1.584	1.600	0.01647	1.029%
1.554	1.600	0.04619	2.887%
1.539	1.600	0.06125	3.828%
1.547	1.600	0.05269	3.293%
1.549	1.600	0.05065	3.166%
1.549	1.600	0.05075	3.172%
1.568	1.600	0.03241	2.025%
1.548	1.600	0.05227	3.267%
1.571	1.600	0.02879	1.799%
1.565	1.600	0.03537	2.211%
1.572	1.600	0.02787	1.742%
1.592	1.600	0.00838	0.524%
1.592	1.600	0.00799	0.500%
1.590	1.600	0.00988	0.617%
1.590	1.600	0.01012	0.633%
